"ID"	"Family"	"AcGenus"	"AcBinomial"	"Old"	"Form"	"Habitname"	"ESIS Group"
1			"Bougainvillea ×buttiana"	"Bv"	"LBE"	"broadleaf evergreen vine"	"Vine/Liana"
2			"Crataegus ×lucorum"	"Ds"	"SBD2"	"broadleaf deciduous shrub"	"Shrub/Subshrub"
3			"Desmodium ×humifusum"		"HF"	"Forb"	"Forb/Herb"
4			"Malus ×zumi"	"Ds"	"SBD2"	"broadleaf deciduous shrub"	"Shrub/Subshrub"
5			"Phyla ×reptans"	"Fh2"	"HF2"	"perennial forb"	"Forb/Herb"
6			"Physalis ×elliottii"		"HF"	"Forb"	"Forb/Herb"
7			"Rheum ×hybridum"		"HF"	"Forb"	"Forb/Herb"
8			"Senegalia ×emoryana"	"Dt"	"TBD"	"broadleaf deciduous tree"	"Tree"
9		"Abrothallus"	"Abrothallus bertianus"	"L"	"NL"	"Lichen"	"Biological Crusts"
10		"Abrothallus"	"Abrothallus bryoriarum"	"L"	"NL"	"Lichen"	"Biological Crusts"
11		"Abrothallus"	"Abrothallus cetrariae"	"L"	"NL"	"Lichen"	"Biological Crusts"
12		"Abrothallus"	"Abrothallus cladoniae"	"L"	"NL"	"Lichen"	"Biological Crusts"
13		"Abrothallus"	"Abrothallus peyritschii"	"L"	"NL"	"Lichen"	"Biological Crusts"
14		"Abrothallus"	"Abrothallus prodiens"	"L"	"NL"	"Lichen"	"Biological Crusts"
15		"Abrothallus"	"Abrothallus welwitschii"	"L"	"NL"	"Lichen"	"Biological Crusts"
16		"Anisothecium"	"Anisothecium palustre"	"M"	"NB"	"Bryophyte"	"Nonvascular"
17		"Anisothecium"	"Anisothecium rigidulum"	"M"	"NB"	"Bryophyte"	"Nonvascular"
18		"Anisothecium"	"Anisothecium staphylinum"	"M"	"NB"	"Bryophyte"	"Nonvascular"
19		"Anisothecium"	"Anisothecium strachyanum"	"M"	"NB"	"Bryophyte"	"Nonvascular"
20		"Anodus"	"Anodus donnianus"	"M"	"NB"	"Bryophyte"	"Nonvascular"
21		"Arthothelium"	"Arthothelium abnorme"	"L"	"NL"	"Lichen"	"Biological Crusts"
22		"Arthothelium"	"Arthothelium adveniens"	"L"	"NL"	"Lichen"	"Biological Crusts"
23		"Arthothelium"	"Arthothelium albovirescens"	"L"	"NL"	"Lichen"	"Biological Crusts"
