"ID"	"order1"	"order2"	"Habitname"	"ESIS Group"	"Old Symbol"	"Intermediate Revision"	"Revised Symbol"
1	0.00	0.00	""	""	""	""	
2	1.00	1.00	"Tree"	"Tree"	"t"	"T"	"T"
3	2.00	2.00	"Shrub/Subshrub"	"Shrub/Subshrub"	""	"S"	"S"
4	3.00	3.00	"Liana"	"Vine/Liana"	"v"	"L"	"L"
5	4.00	4.00	"Herb"	"Forb/Herb"	""	"H"	"H"
6	5.00	5.00	"Forb"	"Forb/Herb"	""	"HF"	"H.F"
7	6.00	6.00	"Graminoid"	"Forb/Herb"	""	"HG"	"H.G"
8	7.00	7.00	"Epiphyte"	"Vine/Liana"	"e"	"E"	"E"
9	8.00	8.00	"Nonvascular"	"Nonvascular"	""	"N"	"N."
10	9.00	9.00	"Bryophyte"	"Nonvascular"	"M"	"NB"	"N.B"
11	10.00	10.00	"Lichen"	"Biological Crusts"	"L"	"NL"	"N.L"
12	11.00	11.00	"Algae"	"Biological Crusts"	"A"	"NA"	"N.A"
13	100.00	12.00	"broadleaf tree"	"Tree"			"T.B"
14	100.00	13.00	"broadleaf deciduous tree"	"Tree"	"Dt"	"TBD"	"T.BD"
15	100.00	14.00	"short broadleaf deciduous tree"	"Tree"	"Dt1"	"TBD1"	"T1BD"
16	100.00	15.00	"tall broadleaf deciduous tree"	"Tree"	"Dt2"	"TBD2"	"T2BD"
17	100.00	16.00	"broadleaf evergreen tree"	"Tree"	"Bt"	"TBE"	"T.BE"
18	100.00	17.00	"short broadleaf evergreen tree"	"Tree"	"Bt1"	"TBE1"	"T1BE"
19	100.00	18.00	"tall broadleaf evergreen tree"	"Tree"	"Bt2"	"TBE2"	"T2BE"
20	100.00	19.00	"short sclerophyllous tree"	"Tree"			"T1BES"
21	100.00	20.00	"tall sclerophyllous tree"	"Tree"	"Bt2"	"TBE2"	"T2BES"
22	100.00	21.00	"graminoid tree"	"Tree"	"Gt"	"TG"	"T.G"
23	100.00	22.00	"short graminoid tree"	"Tree"	"Gt1"	"TG1"	"T1G"
24	100.00	23.00	"short microphyllous deciduous tree"	"Tree"			"T1MD"
25	100.00	24.00	"microphyllous evergreen tree"	"Tree"			"T.ME"
26	100.00	25.00	"short microphyllous evergreen tree"	"Tree"			"T1ME"
27	100.00	26.00	"needleleaf deciduous tree"	"Tree"	"Nt"	"TND"	"T.ND"
28	100.00	27.00	"short needleleaf deciduous tree"	"Tree"	"Nt1"	"TND1"	"T1ND"
29	100.00	28.00	"tall needleleaf deciduous tree"	"Tree"	"Nt2"	"TND2"	"T2ND"
30	100.00	29.00	"needleleaf evergreen tree"	"Tree"	"Et"	"TNE"	"T.NE"
31	100.00	30.00	"short needleleaf evergreen tree"	"Tree"	"Et1"	"TNE1"	"T1NE"
32	100.00	31.00	"tall needleleaf evergreen tree"	"Tree"	"Et2"	"TNE2"	"T2NE"
33	100.00	32.00	"rosette tree"	"Tree"	"Rt"	"TP"	"T.P"
34	100.00	33.00	"short rosette tree"	"Tree"	"Rt1"	"TP1"	"T1P"
35	100.00	34.00	"tall rosette tree"	"Tree"	"Rt2"	"TP2"	"T2P"
36	100.00	35.00	"succulent tree"	"Tree"	"Ct"	"TU"	"T.U"
37	100.00	36.00	"short succulent tree"	"Tree"	"Ct1"	"TU1"	"T1U"
38	150.00	37.00	"tree fern"	"Tree Fern"	"Ot"	"TF"	"T.F"
39	190.00	39.00	"short parasitic tree"	"Tree"	"Pt1"	"TBP1"	"T1Bi"
40	190.00	38.00	"parasitic tree"	"Tree"	"Pt"	"TBP"	"T.Bi"
41	200.00	40.00	"broadleaf deciduous shrub/subshrub"	"Shrub/Subshrub"			"S.B"
42	200.00	41.00	"broadleaf deciduous shrub/subshrub"	"Shrub/Subshrub"			"S.BD"
43	200.00	42.00	"broadleaf deciduous subshrub"	"Shrub/Subshrub"	"Du"	"SBD1"	"S1BD"
44	200.00	43.00	"broadleaf deciduous shrub"	"Shrub/Subshrub"	"Ds"	"SBD2"	"S2BD"
45	200.00	44.00	"broadleaf evergreen shrub/subshrub"	"Shrub/Subshrub"			"S.BE"
46	200.00	45.00	"broadleaf evergreen subshrub"	"Shrub/Subshrub"	"Bu"	"SBE1"	"S1BE"
47	200.00	46.00	"broadleaf evergreen shrub"	"Shrub/Subshrub"	"Bs"	"SBE2"	"S2BE"
48	200.00	47.00	"sclerophyllous subshrub"	"Shrub/Subshrub"	"Bu"	"SBE1"	"S1BES"
49	200.00	48.00	"sclerophyllous shrub"	"Shrub/Subshrub"			"S2BES"
50	200.00	49.00	"fern shrub/subshrub"	"Shrub/Subshrub"			"S.F"
51	200.00	50.00	"graminoid subshrub"	"Shrub/Subshrub"	"Gu"	"SG1"	"S1G"
52	200.00	51.00	"graminoid shrub"	"Shrub/Subshrub"	"Gs"	"SG2"	"S2G"
53	200.00	52.00	"microphyllous deciduous subshrub"	"Shrub/Subshrub"			"S1MD"
54	200.00	53.00	"microphyllous deciduous shrub"	"Shrub/Subshrub"			"S2MD"
55	200.00	54.00	"microphyllous evergreen subshrub"	"Shrub/Subshrub"			"S1ME"
56	200.00	55.00	"microphyllous evergreen shrub"	"Shrub/Subshrub"			"S2ME"
57	200.00	56.00	"needleleaf deciduous shrub"	"Shrub/Subshrub"	"Ns"	"SND2"	"S2ND"
58	200.00	57.00	"needleleaf evergreen shrub/subshrub"	"Shrub/Subshrub"			"S.NE"
59	200.00	58.00	"needleleaf evergreen subshrub"	"Shrub/Subshrub"	"Eu"	"SNE1"	"S1NE"
60	200.00	59.00	"needleleaf evergreen shrub"	"Shrub/Subshrub"	"Es"	"SNE2"	"S2NE"
61	200.00	60.00	"rosette shrub/subshrub"	"Shrub/Subshrub"			"S.P"
62	200.00	61.00	"rosette subshrub"	"Shrub/Subshrub"	"Ru"	"SP1"	"S1P"
63	200.00	62.00	"rosette shrub"	"Shrub/Subshrub"	"Rs"	"SP2"	"S2P"
64	200.00	63.00	"succulent shrub/subshrub"	"Shrub/Subshrub"			"S.U"
65	200.00	64.00	"succulent subshrub"	"Shrub/Subshrub"	"Cu"	"SU1"	"S1U"
66	200.00	65.00	"succulent shrub"	"Shrub/Subshrub"	"Cs"	"SU2"	"S2U"
67	250.00	66.00	"subshrub fern"	"Tree Fern"	"Ou"	"SF1"	"S1F"
68	250.00	67.00	"shrub fern"	"Tree Fern"	"Os"	"SF2"	"S2F"
69	290.00	68.00	"parasitic subshrub"	"Shrub/Subshrub"	"Pu"	"SBP1"	"S1Bi"
