order	ocr	taxon	elias	fna	other	mean
63	Silver Fir, Cascades Fir (A. amabilis)	Abies amabilis	75	75		75
58	Balsam Fir (A. bolsomeoJ 102	Abies balsamea	25	23		24
60	Subalpine Fir. Alpine Fir (A. /asiocorpoJ	Abies bifolia	35	30		32.5
66	Bristlecone Fir (A. bracteato) 114	Abies bracteata		25		25
62	White Fir (A. concolorJ 107	Abies concolor	50	40		45
59	Fraser Fir, She Balsam (A. fraseriJ 103	Abies fraseri	25	25		25
61	Grand Fir, Lowland Fir (A. grandisJ 106	Abies grandis	50	75		62.5
60	Subalpine Fir. Alpine Fir (A. /asiocorpoJ	Abies lasiocarpa	35	20		27.5
62	White Fir (A. concolorJ 107	Abies lowiana	50	60		55
65	California Re Fir (A. mognificaJ 112	Abies magnifica	50			50
64	Noble Fir (A.,rocera) 110	Abies procera	65	80		72.5
467	Sweet Acacia (A. farnesianoJ 627	Acacia farnesiana	10			10
471	Catclaw Acacia (A. greggHJ 630	Acacia greggii	7			7
470	Steel Acacia [A. mocracontha) 629	Acacia macracantha			9	9
469	Sffiall's Acacia (A. smallii} 629	Acacia smallii	5			5
468	Twisted Acacia (A. tortuoso} 628	Acacia tortuosa			6	6
472	Wright's Acacia (A. wrighliiJ 631	Acacia wrightii			9	9
621	Florida Maple (A. borbatum} 790	Acer barbatum	18			18
614	Vine Maple (A. circinalum} 783	Acer circinatum	15			15
612	Rocky Mountain Maple (A. glabrum} '781	Acer glabrum	9			9
618	Bigtooth Maple (A. grondidenlatumJ 787	Acer grandidentatum	15			15
619	Chalk Maple (A. Ieucoderme) 788	Acer leucoderme	12			12
609	Bigleaf Maple (A. macraphyHumJ 778	Acer macrophyllum	30			30
622	Boxelder (A. negundoJ 791	Acer negundo	20			20
617	Black Maple {A. nigrum) 786	Acer nigrum	25			25
610	Striped Maple, Moose Wood (A, pensylvonicumJ	Acer pensylvanicum	12			12
611	Norway Maple (A. plotonoidesJ 780	Acer platanoides	30			30
613	Sycamore Maple (A. pseudoplo!onus) 782	Acer pseudoplatanus	30			30
615	Red Map.le (A. rubrum) 784	Acer rubrum	28			28
616	Silver Maple (A. sacchorinumj 785	Acer saccharinum	30			30
620	Sugar Maple (A. soccharum) 789 	Acer saccharum	30			30
608	Mountain Maple {A. spicotumJ 777	Acer spicatum	30		?	30
743	Everglades Palm (A. wrighUiJ	Acoelorraphe wrightii	8			8
606	California Buckeye {A. coJifornicaJ 773	Aesculus californica	9			9
602	Ohio Buckeye, Fetid Buckeye {A. g!abraJ	Aesculus glabra	25			25
607	Horsechestnut {A. hippocastonumJ 774	Aesculus hippocastanum	25			25
603	Yellow Buckeye, Sweet Buckeye (A. octandroj	Aesculus octandra	26			26
604	Red Buckeye (A. povia) 771	Aesculus pavia	6			6
