"Scientific.Name","preGH","Last","Stem","Size","Leaf","GH"
"Abronia umbellata","H1FS","FS","H","2","F","H2F"
"Annona cherimola","S2BD","BD","S","2","BE","S2BE"
"Isotrema reticulatum","H2F","F","H","2","FV","H2FV"
"Artemisia albicans","S1BE","BE","S","1","ME","S1ME"
"Artemisia inaequifolia","S1BE","BE","S","1","ME","S1ME"
"Artemisia nesiotica","S1BD","BD","S","1","ME","S1ME"
"Artemisia rigida","S1MD","MD","S","1","ME","S1ME"
"Artemisia ruthiae","S1BE","BE","S","1","ME","S1ME"
"Artemisia tripartita","S2MD","MD","S","1","ME","S1ME"
"Asplenium leucostegioides","H.F","F","H","2","FE","H2FE"
"Atriplex corrugata","S1ME","ME","S","1","BE","S1BE"
"Atriplex falcata","S1BD","BD","S","1","BE","S1BE"
"Atriplex gardneri","S1MD","MD","S","1","BE","S1BE"
"Atriplex holocarpa","S1BD","BD","S","1","BE","S1BE"
"Atriplex nummularia","S2BD","BD","S","2","BE","S2BE"
"Atriplex X aptera","S1BD","BD","S","1","BE","S1BE"
"Baccharis glutinosa","S2BD","BD","S","2","BE","S2BE"
"Bauhinia multinervia","T.B","B","T","1","BE","T1BE"
"Bauhinia variegata","T1BD","BD","T","1","BE","T1BE"
"Begonia convolvulacea","H2FV","FV","H","2","F","H2F"
"Berberis X ottawensis","S2BD","BD","S","2","BE","S2BE"
"Bidens cosmoides","H2FV","FV","H","2","F","H2F"
"Telmatoblechnum serrulatum","H.FE","FE","H","2","F","H2F"
"Telmatoblechnum serrulatum","H.FE","FE","H","2","F","H2F"
"Mickelia nicotianifolia","H2FV","FV","H","2","F","H2F"
"Botrychium campestre var. lineare","H.FE","FE","H","2","F","H2F"
"Brickellia longifolia","S2MD","MD","S","1","BD","S1BD"
"Terminalia buceras","T2BES","BES","T","1","BE","T1BE"
"Erythrostemon gilliesii","T1BD","BD","T","1","BE","T1BE"
"Erythrostemon mexicanus","T1BD","BD","T","1","BE","T1BE"
"Erythrostemon mexicanus","T1BD","BD","T","1","BE","T1BE"
"Calliandra eriophylla","S1BE","BE","S","2","BD","S2BD"
"Calliandra purpurea","T1BD","BD","T","1","BE","T1BE"
"Calochortus flexuosus","H2FV","FV","H","2","F","H2F"
"Calochortus flexuosus","H2FV","FV","H","2","F","H2F"
"Calochortus flexuosus","H2FV","FV","H","2","F","H2F"
"Calochortus kennedyi","H2FV","FV","H","2","F","H2F"
"Calystegia atriplicifolia","H2F","F","H","2","FV","H2FV"
"Casearia decandra","T1BD","BD","T","1","BE","T1BE"
"Ceanothus cordulatus","S2BD","BD","S","2","BE","S2BE"
"Ceanothus fresnensis","S1BD","BD","S","2","BE","S2BE"
"Ceanothus impressus","S2BES","BES","S","2","BE","S2BE"
"Ceanothus papillosus","S2BD","BD","S","2","BE","S2BE"
"Ceanothus parvifolius","S1BD","BD","S","2","BE","S2BE"
"Ceanothus thyrsiflorus","S2BES","BES","S","2","BE","S2BE"
"Ceanothus thyrsiflorus","S2BES","BES","S","2","BE","S2BE"
"Ceanothus velutinus","S2BD","BD","S","2","BE","S2BE"
"Cecropia pachystachya","T.BD","BD","T","1","BE","T1BE"
"Celtis iguanaea","T1MD","MD","T","1","BD","T1BD"
"Chionanthus domingensis","T2BE","BE","T","1","BD","T1BD"
"Chrysothamnus scopulorum","S1BE","BE","S","1","BD","S1BD"
"Chrysothamnus viscidiflorus","S2MD","MD","S","2","BD","S2BD"
"Clematis addisonii","H2FV","FV","H","2","F","H2F"
"Clematis florida","L.BE","BE","L",".","BD","L.BD"
"Clematis recta","H2FV","FV","H","2","F","H2F"
"Nephroia carolina","L.BD","BD","L",".","BE","L.BE"
"Convolvulus pilosellifolius","H2F","F","H","2","FV","H2FV"
"Convolvulus tricolor","H2F","F","H","2","FV","H2FV"
"Copaifera officinalis","T.BE","BE","T","2","BD","T2BD"
"Cordia laevigata","T1BD","BD","T","1","BE","T1BE"
"Cordia sulcata","T2BD","BD","T","1","BE","T1BE"
"Cotoneaster horizontalis","S1BD","BD","S","2","BE","S2BE"
"Cotoneaster microphyllus","S2BD","BD","S","2","BE","S2BE"
"Crassula colligata","H1F","F","H","1","FS","H1FS"
"Croton astroites","T1BD","BD","T","1","BE","T1BE"
"Croton cascarilla","S2BE","BE","S","2","BD","S2BD"
"Cyclanthera stenura","H1F","F","H","1","FV","H1FV"
"Christella augescens","H.FE","FE","H","2","F","H2F"
"Christella dentata","H.FE","FE","H","2","F","H2F"
"Christella grandis","H.FE","FE","H","2","F","H2F"
"Christella quadrangularis","H.FE","FE","H","2","F","H2F"
"Christella normalis","H.FE","FE","H","2","F","H2F"
"Amblovenatum opulentum","H.FE","FE","H","2","F","H2F"
"Christella ovata var. ovata","H.FE","FE","H","2","F","H2F"
"Cyperus alopecuroides","H2GW","GW","H","2","GC","H2GC"
"Cyperus confertus","H2GW","GW","H","2","GC","H2GC"
