Scientific.Name,preGH,Last,Stem,Size,Leaf,Leafnew,GH
Limnophila chinensis,H2F,F,H,2,A,A,H2A
Sagittaria ambigua,H2F,F,H,2,A,A,H2A
Sagittaria australis,H2F,F,H,2,A,A,H2A
Utricularia stygia,H2F,F,H,2,A,A,H2A
Utricularia benjaminiana,H.F,F,H,2,A,A,H2A
Inga ingoides,T.B,B,T,1,BD,BD,T1BD
Acanthosyris annonagustata,T.B,B,T,1,BD,BD,T1BD
Aeschynomene scabra,S.B,B,S,1,BD,BD,S1BD
Aeschynomene scabra,S.B,B,S,1,BD,BD,S1BD
Albizia tomentosa,T.B,B,T,1,BD,BD,T1BD
Alfaroa costaricensis,T.B,B,T,1,BD,BD,T1BD
Alnus acuminata,T.B,B,T,1,BD,BD,T1BD
Amicia zygomeris,S.B,B,S,2,BD,BD,S2BD
Anomospermum chloranthum,L.B,B,L,.,BD,BD,L.BD
Anomospermum grandifolium,L.B,B,L,.,BD,BD,L.BD
Anomospermum reticulatum,L.B,B,L,.,BD,BD,L.BD
Aristolochia pilosa,L.B,B,L,.,BD,BD,L.BD
Aspidosperma cuspa,T.B,B,T,1,BD,BD,T1BD
Brickellia scoparia,S.B,B,S,2,BD,BD,S2BD
Brickellia scoparia,S.B,B,S,2,BD,BD,S2BD
Bursera confusa,S.B,B,S,2,BD,BD,S2BD
Callicarpa ferruginea,S.B,B,S,2,BD,BD,S2BD
Cercocarpus mojadensis,T.B,B,T,1,BD,BD,T1BD
Cercocarpus mojadensis,T.B,B,T,1,BD,BD,T1BD
Clethra conzattiana,T.B,B,T,1,BD,BD,T1BD
Clethra conzattiana,T.B,B,T,1,BD,BD,T1BD
Coccoloba caracasana,T.B,B,T,1,BD,BD,T1BD
Cornus peruviana,S.B,B,S,2,BD,BD,S2BD
Crataegus coccinea,S.B,B,S,2,BD,BD,S2BD
Crataegus mexicana,T.B,B,T,1,BD,BD,T1BD
Crataegus mexicana,T.B,B,T,1,BD,BD,T1BD
Crotalaria nitens,S.B,B,S,2,BD,BD,S2BD
Croton glabellus,S.B,B,S,2,BD,BD,S2BD
Dilodendron elegans,T.B,B,T,1,BD,BD,T1BD
Euphorbia fulgens,S.B,B,S,2,BD,BD,S2BD
Eysenhardtia polystachya,S.B,B,S,2,BD,BD,S2BD
Fouquieria formosa,S.B,B,S,2,BD,BD,S2BD
Inga ciliata,T.B,B,T,1,BD,BD,T1BD
Inga glomeriflora,T.B,B,T,1,BD,BD,T1BD
Inga hayesii,T.B,B,T,1,BD,BD,T1BD
Inga pauciflora,T.B,B,T,1,BD,BD,T1BD
Krameria cytisoides,S.B,B,S,1,BD,BD,S1BD
Lachemilla verticillata,S.B,B,S,2,BD,BD,S2BD
