  Scientific Name  	 AGCP	 AW	 CB	 EMP	 GP	 HI	 MW	 NCNE	 WMVC	 AK
  Abelmoschus moschatus  	   	   	 UPL	   	   	 FAC	   	   	   	   
  Abies amabilis  	   	 FACU	   	   	   	   	   	   	 FACU	 UPL
  Abies balsamea  	   	   	   	 FAC	 FAC	   	 FACW	 FAC	   	   
  Abies bifolia  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Abies fraseri  	   	   	   	 FACU	   	   	   	 FACU	   	   
  Abies grandis  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Abies lasiocarpa  	   	 FACU	   	   	   	   	   	   	 FACU	 UPL
  Abies procera  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Abildgaardia ovata  	 FACW	   	 FAC	   	   	 FACW	   	   	   	   
  Abrus precatorius  	 UPL	   	 UPL	   	   	 FAC	   	   	   	   
  Abutilon auritum  	   	   	   	   	   	 FACU	   	   	   	   
  Abutilon indicum  	   	   	 UPL	   	   	 FAC	   	   	   	   
  Abutilon theophrasti  	 FACU	 UPL	   	 UPL	 UPL	   	 FACU	 FACU	 FACU	   
  Acacia confusa  	   	   	   	   	   	 FACU	   	   	   	   
  Acaena exigua  	   	   	   	   	   	 OBL	   	   	   	   
  Acalypha amentacea  	 FAC	   	 UPL	   	   	 FACU	   	   	   	   
  Acalypha bisetosa  	   	   	 FACW	   	   	   	   	   	   	   
  Acalypha gracilens  	 FAC	   	   	 FAC	 FAC	   	 FACU	 FACU	   	   
  Acalypha poiretii  	 FACU	   	 UPL	 FACU	 FACU	 UPL	   	 FACU	   	   
  Acalypha rhomboidea  	 FAC	   	   	 FACU	 FACU	   	 FACU	 FACU	 FACU	   
  Acalypha virginica  	 FACU	   	   	 FACU	 FACU	   	 FACU	 FACU	   	   
  Acanthocereus tetragonus  	 FAC	   	 UPL	   	 FACU	 UPL	   	   	   	   
  Acanthomintha ilicifolia  	   	 FAC	   	   	   	   	   	   	   	   
  Acer circinatum  	   	 FAC	   	   	   	   	   	 FAC	 FAC	 FAC
  Acer glabrum  	   	 FAC	   	   	 FAC	   	 FAC	   	 FACU	 FACU
  Acer grandidentatum  	   	 FACU	   	   	 FAC	   	   	   	 FACU	   
  Acer macrophyllum  	   	 FAC	   	   	   	   	   	   	 FACU	   
  Acer negundo  	 FAC	 FACW	   	 FAC	 FAC	   	 FAC	 FAC	 FAC	   
  Acer nigrum  	 UPL	   	   	 FACU	   	   	 FACU	 FACU	   	   
  Acer pensylvanicum  	 FACU	   	   	 FACU	   	   	 FACU	 FACU	   	   
  Acer platanoides  	 UPL	 UPL	   	 UPL	 UPL	   	 UPL	 UPL	 FACU	   
  Acer rubrum  	 FAC	   	   	 FAC	 FAC	   	 FAC	 FAC	 FAC	   
  Acer saccharinum  	 FAC	 FAC	   	 FACW	 FAC	   	 FACW	 FACW	 FAC	   
  Acer saccharum  	 FACU	 FACU	   	 FACU	 UPL	   	 FACU	 FACU	 FACU	   
  Acer spicatum  	 UPL	   	   	 FACU	 FACU	   	 FACU	 FACU	   	   
  Achillea millefolium  	 FACU	 FACU	   	 FACU	 FACU	 UPL	 FACU	 FACU	 FACU	 FACU
  Achillea ptarmica  	 FACU	 FACU	   	 FACU	 FACU	   	 FACU	 FACU	 FACU	 FACU
  Achnatherum diegoense  	   	 FACW	   	   	   	   	   	   	   	   
  Achnatherum hymenoides  	   	 UPL	   	   	 FACU	   	 FACU	 FACU	 UPL	   
  Achnatherum nelsonii  	   	 FACU	   	   	 UPL	   	 UPL	   	 UPL	   
  Achnatherum richardsonii  	   	 UPL	   	   	 FACU	   	   	   	 UPL	 FACU
  Achyrachaena mollis  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Achyranthes aspera  	 UPL	   	 UPL	 UPL	 UPL	 FAC	   	   	   	   
  Achyranthes bidentata  	   	   	   	   	   	 FACU	   	   	   	   
  Acisanthera quadrata  	   	   	 OBL	   	   	   	   	   	   	   
  Acmella iodiscaea  	   	   	 OBL	   	   	   	   	   	   	   
  Acmella repens  	 FACW	   	   	 FACW	 FACW	   	 FACW	   	   	   
  Acmispon americanus  	 FACU	 UPL	   	 FACU	 FACU	   	 FACU	 FACU	 FACU	   
  Acnistus arborescens  	   	   	 FACU	   	   	   	   	   	   	   
  Acoelorrhaphe wrightii  	 OBL	   	   	   	   	   	   	   	   	   
  Aconitum columbianum  	   	 FACW	   	   	 FACW	   	   	   	 FACW	   
  Aconitum delphiniifolium  	   	   	   	   	   	   	   	   	   	 FAC
  Aconitum infectum  	   	 FACW	   	   	   	   	   	   	 OBL	   
  Aconitum noveboracense  	   	   	   	   	   	   	 FACW	 FAC	   	   
  Aconitum reclinatum  	   	   	   	 FAC	   	   	   	   	   	   
  Aconitum uncinatum  	 FAC	   	   	 FAC	   	   	 FAC	 FAC	   	   
  Aconogonon alaskanum  	   	   	   	   	   	   	   	   	   	 FAC
  Aconogonon phytolaccifolium  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Acorus americanus  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Acorus calamus  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	   
  Acrostichum aureum  	 OBL	   	 OBL	   	   	 OBL	   	   	   	   
  Acrostichum danaeifolium  	 OBL	   	 OBL	   	   	   	   	   	   	   
  Actaea laciniata  	   	   	   	   	   	   	   	   	 FACW	   
  Actaea pachypoda  	 FACU	   	   	 UPL	   	   	 FACU	 UPL	   	   
  Actaea podocarpa  	   	   	   	 FACU	   	   	 FAC	   	   	   
  Actaea rubra  	 UPL	 FAC	   	 UPL	 FACU	   	 FACU	 FACU	 FACU	 FAC
  Actinostachys pennula  	 FAC	   	 FAC	   	   	   	   	   	   	   
  Adenanthera pavonina  	 UPL	   	 UPL	   	   	 FACU	   	   	   	   
  Adenophorus pinnatifidus  	   	   	   	   	   	 FACU	   	   	   	   
  Adenostemma lavenia  	   	   	   	   	   	 FACW	   	   	   	   
  Adenostemma verbesina  	   	   	 FACW	   	   	   	   	   	   	   
  Adiantum aleuticum  	 FAC	 FAC	   	 FAC	 FAC	   	   	 FACU	 FAC	 FAC
  Adiantum capillus-veneris  	 FACU	 FACW	 FACW	 FACU	 FACW	 FACU	 FACU	   	 FACW	   
  Adiantum jordanii  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Adiantum latifolium  	   	   	 FAC	   	   	   	   	   	   	   
  Adiantum macrophyllum  	   	   	 FACW	   	   	   	   	   	   	   
  Adiantum obliquum  	   	   	 FACU	   	   	   	   	   	   	   
  Adiantum pedatum  	 FACU	   	   	 FAC	 FAC	   	 FACU	 FACU	 FAC	   
  Adiantum petiolatum  	   	   	 FAC	   	   	   	   	   	   	   
  Adiantum pulverulentum  	   	   	 FACU	   	   	   	   	   	   	   
  Adiantum raddianum  	   	   	   	   	   	 FAC	   	   	   	   
  Adiantum tenerum  	 FAC	   	 FACU	   	   	 FACU	   	   	   	   
  Adiantum tricholepis  	   	   	   	   	 FAC	   	   	   	   	   
  Adiantum wilsonii  	   	   	 FAC	   	   	   	   	   	   	   
  Adoxa moschatellina  	   	 FAC	   	   	 FAC	   	 FAC	 FAC	 FAC	 FAC
  Aegopodium podagraria  	 FACW	 FAC	   	 FACU	   	   	 FAC	 FAC	 FACU	   
  Aeschynomene americana  	 FAC	   	 FAC	 FAC	   	   	   	   	   	   
  Aeschynomene evenia  	   	   	 FAC	   	   	   	   	   	   	   
  Aeschynomene gracilis  	   	   	 FAC	   	   	   	   	   	   	   
  Aeschynomene indica  	 FACW	   	 FACW	 FACW	 FACW	   	   	   	   	   
  Aeschynomene pratensis  	 OBL	   	   	   	   	   	   	   	   	   
  Aeschynomene sensitiva  	   	   	 OBL	   	   	   	   	   	   	   
  Aeschynomene virginica  	 FACW	   	   	 OBL	   	   	   	   	   	   
  Aeschynomene virginica  	 OBL	   	   	   	   	   	   	   	   	   
  Aesculus flava  	 FACU	   	   	 FACU	   	   	 FACU	 FACU	   	   
  Aesculus glabra  	 FACU	   	   	 FACU	 FAC	   	 FAC	 FAC	   	   
  Aesculus pavia  	 FACU	   	   	 FAC	 FAC	   	 FAC	   	   	   
  Aesculus sylvatica  	 FAC	   	   	 FAC	   	   	   	   	   	   
