"Botanical.Name","ht.max","dbh","cw"
"Pinus nigra",18.68,62.388750671634,NA
"Quercus cerris",16.49,87.8535468641377,NA
"Populus nigra",22.56,185.574702252871,NA
"Platanus orientalis",25.45,161.701455822398,NA
"Larix sibirica",21.7,69.0732596721662,NA
"Acer negundo",22.62,81.4873478160117,NA
"Fagus sylvatica",24.69,138.783139249145,30.78
"Larix decidua",22.56,67.1633999577284,NA
"Betula pendula",16.86,41.3802938128185,NA
"Betula pendula",20.03,52.5211421470388,NA
"Aesculus hippocastanum",22.13,78.9408681967614,NA
"Aesculus hippocastanum",22.59,90.400026483388,NA
"Tilia cordata",21.76,66.2084701005095,NA
"Acer platanoides",20.09,69.3915696245725,NA
"Acer platanoides",28.44,98.994395198358,NA
"Quercus robur",40.84,233.002885161409,NA
"Quercus robur",43.59,122.231021724018,NA
"Alnus glutinosa",31.61,122.86764162883,NA
"Fraxinus excelsior",39.62,150.242297535772,NA
"Fraxinus excelsior",40.39,167.431034965712,NA
"Fraxinus excelsior",44.41,129.870460581769,NA
"Populus tremula",NA,126.050741152893,NA
"Populus tremula",38.8,77.6676283871362,NA
"Carpinus betulus",NA,131.780320296206,NA
"Carpinus betulus",32.4,84.988757292481,NA
"Betula pendula",NA,95.4929857218888,NA
"Betula pendula",35.2,88.8084767213566,NA
"Betula pendula",35.2,66.2084701005095,NA
"Tilia cordata",32,185.893012205277,NA
"Acer platanoides",34.96,130.825390438988,NA
"Acer platanoides",37.19,117.138062485517,NA
"Picea abies",47,140.692998963583,NA
"Picea abies",47.4,118.729612247548,NA
"Picea abies",50.2,129.870460581769,NA
"Pinus sylvestris",39.62,120.32116200958,NA
"Pinus sylvestris",39.62,97.0845354839202,NA
"Pinus sylvestris",45.29,67.1633999577284,NA
"Quercus petraea",40.54,194.16907096784,NA
"Quercus petraea",41.15,184.301462443245,NA
"Ulmus glabra",33.01,139.738069106364,NA
"Ulmus glabra",38.4,122.231021724018,NA
"Quercus robur",31.94,113.954962961454,NA
"Taxus baccata",9.51,73.5295990058544,NA
"Fagus sylvatica",28.5,150.242297535772,NA
"Carpinus betulus",22.13,57.6141013855396,NA
"Larix decidua",30.72,84.3521373876684,NA
"Larix decidua",35.51,122.86764162883,NA
"Tilia cordata",12.01,130.188770534175,NA
"Quercus petraea",30.08,95.8112956742951,NA
"Abies alba",25.97,61.1155108620088,NA
"Quercus ilex",16.25,52.2028321946325,NA
"Aesculus hippocastanum",13.44,35.9690246219114,NA
"Pinus pinea",14.02,78.6225582443551,NA
"Tilia platyphyllos",15.61,53.4760720042577,NA
"Platanus orientalis",20.79,113.954962961454,NA
"Cedrus deodara",19.81,97.7211553887328,NA
"Cupressus sempervirens",22.56,76.0760786251047,NA
"Cupressus sempervirens",21.28,70.3464994817914,NA
"Pinus pinea",21.37,117.774682390329,NA
"Sciadopitys verticillata",12.83,34.6957848122863,NA
"Picea abies",26.46,62.388750671634,NA
"Pinus contorta var. latifolia",18.44,30.5577554310044,NA
"Pinus contorta var. latifolia",21.03,30.5577554310044,NA
"Pinus contorta var. latifolia",21.52,30.8760653834107,NA
"Pinus contorta var. latifolia",22.13,25.4647961925037,NA
"Pinus contorta var. latifolia",22.74,29.9211355261918,NA
"Populus tremuloides",16,23.2366265256596,NA
"Populus tremuloides",18.59,43.9267734320688,NA
"Populus tremuloides",21.06,37.8788843363492,NA
"Populus tremuloides",22.1,39.1521241459744,NA
"Populus balsamifera ssp. trichocarpa",28.29,59.5239610999773,NA
"Alnus viridis ssp. sinuata",8.05,18.7802871919715,NA
"Picea sitchensis",31.42,78.3042482919488,NA
"Picea sitchensis",32.46,94.5380558646699,NA
"Tsuga heterophylla",24.81,34.37747485988,NA
"Pinus contorta var. contorta",14.39,23.5549364780659,NA
"Alnus rubra",16.15,39.4704340983807,NA
"Picea sitchensis",40.69,156.926806536304,NA
"Picea sitchensis",41.97,129.233840676956,NA
"Picea sitchensis",42.31,119.047922199955,NA
"Tsuga heterophylla",28.68,55.3859317186955,NA
"Tsuga heterophylla",34.9,82.7605876256369,NA
"Tsuga heterophylla",39.26,57.6141013855396,NA
"Salix alaxensis",4.94,10.5042284294078,NA
"Salix alaxensis",4.97,9.86760852459517,NA
"Salix alaxensis",6.31,15.5971876679085,8.23
"Ulmus mexicana",58.49,163.29300558443,NA
"Nyssa sylvatica",21.64,83.3972075304495,NA
"Quercus marilandica",14.26,NA,NA
"Quercus pagoda",NA,170.614134489775,NA
"Salix caroliniana",5.76,6.36619904812592,NA
"Pinus palustris",21.49,23.5549364780659,NA
"Pinus palustris",22.8,NA,NA
"Pinus palustris",24.81,53.4760720042577,NA
"Pinus palustris",26.82,81.805657768418,NA
"Carya pallida",20.06,37.8788843363492,NA
"Carya pallida",22.28,44.5633933368814,NA
"Rhus copallinum",9.48,8.91267866737629,NA
"Tsuga canadensis",NA,82.4422776732306,NA
"Tsuga canadensis",NA,79.8957980539803,NA
"Tsuga canadensis",NA,92.3098861978258,NA
"Tsuga canadensis",NA,92.3098861978258,NA
"Tsuga canadensis",NA,92.3098861978258,NA
"Tsuga canadensis",32.92,NA,NA
"Liquidambar styraciflua",NA,83.3972075304495,NA
"Liquidambar styraciflua",NA,98.6760852459517,NA
"Quercus montana",41.61,76.7126985299173,NA
"Quercus montana",43.22,71.9380492438229,NA
"Magnolia acuminata",35.11,86.5803070545125,NA
"Sassafras albidum",26.67,25.78310614491,NA
"Magnolia grandiflora",25.39,38.8338141935681,NA
"Magnolia grandiflora",25.54,29.9211355261918,NA
"Acer floridanum",29.38,83.3972075304495,NA
"Quercus michauxii",36.42,83.3972075304495,NA
"Quercus alba",39.59,NA,NA
"Ilex opaca",NA,21.0084568588155,NA
"Magnolia macrophylla",NA,38.8338141935681,NA
"Quercus montana",NA,63.9803004336655,NA
"Tsuga canadensis",NA,83.3972075304495,NA
"Oxydendrum arboreum",NA,39.4704340983807,NA
"Acer floridanum",NA,52.5211421470388,NA
"Liriodendron tulipifera",NA,91.3549563406069,NA
"Liriodendron tulipifera",NA,85.6253771972936,NA
"Quercus alba",NA,56.6591715283207,NA
"Tilia americana var. heterophylla",NA,92.9465061026384,NA
"Tilia americana var. heterophylla",37.16,54.1126919090703,NA
"Carpinus caroliniana",19.08,33.1042350502548,NA
"Platanus occidentalis",36.76,70.3464994817914,NA
"Platanus occidentalis",41.03,49.9746625277885,NA
"Carya cordiformis",34.75,76.0760786251047,NA
"Carya cordiformis",36.7,60.7972009096025,NA
"Carya cordiformis",38.68,61.4338208144151,NA
"Prunus serotina",32.03,53.4760720042577,NA
"Quercus velutina",36.06,71.9380492438229,NA
"Juglans nigra",34.66,70.3464994817914,NA
"Juglans nigra",35.69,61.4338208144151,NA
"Juglans nigra",36.09,55.0676217662892,NA
"Nyssa sylvatica",34.9,58.2507212903521,NA
"Quercus muehlenbergii",31.18,41.3802938128185,NA
"Magnolia acuminata",34.26,49.9746625277885,NA
"Magnolia acuminata",34.32,76.7126985299173,NA
"Populus deltoides",38.01,137.50989943952,NA
"Populus deltoides",40.39,86.5803070545125,NA
"Populus deltoides",40.78,66.2084701005095,NA
"Populus deltoides",41.67,105.042284294078,NA
"Juniperus virginiana",29.35,NA,NA
"Fraxinus pennsylvanica",36.36,85.6253771972936,NA
"Gleditsia triacanthos",29.6,52.5211421470388,NA
"Gleditsia triacanthos",31.09,NA,NA
"Pinus taeda",43.53,79.2591781491677,NA
"Quercus rubra",38.74,80.8507279111992,NA
"Quercus rubra",40.26,73.5295990058544,NA
