"Observation_ID","mukey","cokey","drainagecl","comppct_r","compname","taxclname","taxsubgrp","sand050","sand150","rockdepth","comppct_l","comppct_h","compkind","majcompflag","otherph","localphase","slope_l","slope_r","slope_h","slopelenusle_l","slopelenusle_r","slopelenusle_h","runoff","tfact","wei","weg","erocl","earthcovkind1","earthcovkind2","hydricon","hydricrating","elev_l","elev_r","elev_h","aspectccwise","aspectrep","aspectcwise","geomdesc","albedodry_l","albedodry_r","albedodry_h","airtempa_l","airtempa_r","airtempa_h","map_l","map_r","map_h","reannualprecip_l","reannualprecip_r","reannualprecip_h","ffd_l","ffd_r","ffd_h","nirrcapcl","nirrcapscl","nirrcapunit","irrcapcl","irrcapscl","irrcapunit","cropprodindex","constreeshrubgrp","wndbrksuitgrp","rsprod_l","rsprod_r","rsprod_h","foragesuitgrpid","wlgrain","wlgrass","wlherbaceous","wlshrub","wlconiferous","wlhardwood","wlwetplant","wlshallowwat","wlrangeland","wlopenland","wlwoodland","wlwetland","soilslippot","frostact","initsub_l","initsub_r","initsub_h","totalsub_l","totalsub_r","totalsub_h","hydgrp","corcon","corsteel","taxorder","taxsuborder","taxgrtgroup","taxpartsize","taxpartsizemod","taxceactcl","taxreaction","taxtempcl","taxmoistscl","taxtempregime","soiltaxedition","castorieindex","flecolcomnum","flhe","flphe","flsoilleachpot","flsoirunoffpot","fltemik2use","fltriumph2use","indraingrp","innitrateleachi","misoimgmtgrp","vasoimgtgrp","pmkind","pmorigin","landform","mntn","hill","trce","flats","shapeacross","shapedown","slopeshape","hillslopeprof","areasymbol","lkey","musym","muname","mukind","mustatus","invesintens","muacres","farmlndcl","flood","pH50","carbdepth","ocean","lake","wet","moist","dry","mucky","sandy","rock","coastal","salty","dysic","calcareous","euic"
"GRR.NJL.2023.13",193389,"21201276","Excessively drained",100,"Entic Haplorthods","Sandy, mixed, mesic Entic Haplorthods","Entic Haplorthods",91.44,93.8133333333333,500,100,100,"Family","Yes",NA,"sandy",18,24,30,18,30,61,"Low",5,220,"1","None - deposition",NA,NA,NA,"No",176,258,341,NA,NA,NA,"moraines, outwash plains",NA,0.230000004172325,NA,3,8,13,720,870,970,NA,NA,NA,113,150,185,7,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,0,0,0,"A","High","Moderate","Spodosols","Orthods","Haplorthods","sandy","not used","not used","not used","mesic",NA,"mesic","eighth edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,NA,NA,"Glaciofluvial deposits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI614","11660","230D","Entic Haplorthods, sandy, hilly","Consociation",NA,"Order 2",747,"Not prime farmland",0,5.30000019073486,NA,877395.538608056,27388.0765674336,0,0,1,0,1,0,0,0,1,0,0
"GRR.NJL.2023.14",193389,"21201276","Excessively drained",100,"Entic Haplorthods","Sandy, mixed, mesic Entic Haplorthods","Entic Haplorthods",91.44,93.8133333333333,500,100,100,"Family","Yes",NA,"sandy",18,24,30,18,30,61,"Low",5,220,"1","None - deposition",NA,NA,NA,"No",176,258,341,NA,NA,NA,"moraines, outwash plains",NA,0.230000004172325,NA,3,8,13,720,870,970,NA,NA,NA,113,150,185,7,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,0,0,0,"A","High","Moderate","Spodosols","Orthods","Haplorthods","sandy","not used","not used","not used","mesic",NA,"mesic","eighth edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,NA,NA,"Glaciofluvial deposits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI614","11660","230D","Entic Haplorthods, sandy, hilly","Consociation",NA,"Order 2",747,"Not prime farmland",0,5.30000019073486,NA,877281.513762371,27544.4940618191,0,0,1,0,1,0,0,0,1,0,0
"GRR.GJS.2011.18",193255,"21201190","Somewhat excessively drained",40,"Coloma","Mixed, mesic Lamellic Udipsamments","Lamellic Udipsamments",91,93.1666666666667,500,30,50,"Series","Yes",NA,NA,0,4,6,30,55,91,"Very low",5,220,"1","None - deposition","Crop cover","Close-grown crop",NA,"No",177,241,305,NA,NA,NA,"outwash plains on outwash plains, moraines on till plains",NA,0.170000001788139,NA,5,7,9,770,830,910,NA,NA,NA,110,160,180,4,"s",NA,3,"e",NA,NA,"1sk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,0,0,0,"A","Moderate","Low","Entisols","Psamments","Udipsamments","not used","not used","not used","not used","mesic","Typic","mesic","twelfth edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5a",NA,"Drift",NA,"moraines",NA,"Head Slope and Interfluve and Nose Slope and Side Slope",NA,NA,"Linear","Convex and Linear","LL and VL","Shoulder and Summit","MI614","11660","47B","Spinks-Coloma sands, 0 to 6 percent slopes","Complex",NA,"Order 2",11869,"Not prime farmland",0,6.06199994087219,NA,873592.066783358,4848.207385925,0,0,1,0,1,0,0,0,0,0,1
"GRR.GJS.2011.18",193255,"21201193","Well drained",48,"Spinks","Sandy, mixed, mesic Lamellic Hapludalfs","Lamellic Hapludalfs",88.868000793457,87.9293329874674,500,40,55,"Series","Yes",NA,NA,0,4,6,30,55,91,"Very low",5,220,"1","None - deposition","Crop cover","Close-grown crop",NA,"No",177,241,305,NA,NA,NA,"ice-margin complexes, lake plains on lake plains, outwash plains on outwash plains, glacial drainage channels on till plains, moraines on till plains",NA,0.230000004172325,NA,5,7,9,770,830,910,NA,NA,NA,110,160,180,3,"s",NA,3,"s",NA,NA,"1sk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,0,0,0,"A","Moderate","Low","Alfisols","Udalfs","Hapludalfs","sandy","not used","not used","not used","mesic","Typic","mesic","twelfth edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"4a",NA,"Drift",NA,"moraines",NA,"Head Slope and Interfluve and Nose Slope and Side Slope",NA,NA,"Linear","Convex and Linear","LL and VL","Shoulder and Summit","MI614","11660","47B","Spinks-Coloma sands, 0 to 6 percent slopes","Complex",NA,"Order 2",11869,"Not prime farmland",0,6,176,873592.066783358,4848.207385925,0,0,1,0,1,0,0,0,0,0,1
"GRR.GJS.2022.7",190749,"21199126","Somewhat excessively drained",35,"Graycalm","Isotic, frigid Lamellic Udipsamments","Lamellic Udipsamments",90.9899971008301,92.3239978027344,500,30,45,"Series","Yes","HIGH PPT",NA,0,3,6,15,83,150,"Negligible",5,220,"1",NA,NA,NA,NA,"No",183,244,305,NA,NA,NA,"moraines, outwash plains, till plains",NA,0.0900000035762787,NA,3,6,8,635,724,813,NA,NA,NA,90,115,140,4,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,NA,NA,NA,"A","Moderate","Low","Entisols","Psamments","Udipsamments","not used",NA,NA,"not used","frigid",NA,"frigid",NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5a",NA,"Glaciofluvial deposits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI600","11658","20B","Montcalm-Graycalm complex, 0 to 6 percent slopes","Complex",NA,"Order 2",64223,"Not prime farmland",0,5.5,NA,877783.598368075,43739.3259297068,0,0,1,0,1,0,0,0,1,0,0
"GRR.GJS.2022.7",190749,"21199128","Well drained",50,"Montcalm","Coarse-loamy, mixed, semiactive, frigid Alfic Haplorthods","Alfic Haplorthods",84.5160025024414,79.2980015563965,500,45,55,"Series","Yes",NA,NA,0,3,6,15,83,150,"Very low",5,134,"2",NA,NA,NA,NA,"No",183,244,305,NA,NA,NA,"moraines, till plains",NA,0.300000011920929,NA,5,7,8,711,762,813,NA,NA,NA,90,115,140,3,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,NA,NA,NA,"A","Moderate","Low","Spodosols","Orthods","Haplorthods","coarse-loamy",NA,"semiactive","not used","frigid",NA,"frigid",NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"4a",NA,"Drift over Glaciofluvial deposits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI600","11658","20B","Montcalm-Graycalm complex, 0 to 6 percent slopes","Complex",NA,"Order 2",64223,"Not prime farmland",0,5.80000019073486,NA,877783.598368075,43739.3259297068,0,0,1,0,1,0,0,0,0,0,1
"GRR.GJS.2016.61",190742,"21199227","Somewhat excessively drained",95,"Kalkaska","Sandy, isotic, frigid Typic Haplorthods","Typic Haplorthods",90.6,94.7333333333333,500,90,100,"Series","Yes",NA,NA,0,2,6,30,91,91,"Very low",5,220,"1","None - deposition","Tree cover","Intermixed conifers and hardwoods",NA,"No",177,328,513,NA,NA,NA,"valley trains on ice-margin complexes, flats on outwash plains, lake plains on till plains, moraines on till plains",NA,0.0199999995529652,NA,5,7,9,700,810,920,NA,NA,NA,90,120,160,4,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,0,0,0,"A","High","Moderate","Spodosols","Orthods","Haplorthods","sandy","not used","not used","not used","frigid","Typic","frigid","twelfth edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5a",NA,"Outwash",NA,"flats",NA,"Interfluve and Nose Slope and Side Slope",NA,NA,"Convex and Linear","Convex and Linear","LL and VL and VV","Backslope and Shoulder and Summit","MI600","11658","15B","Kalkaska sand, 0 to 6 percent slopes","Consociation",NA,"Order 2",39405,"Not prime farmland",0,4.94999988555908,NA,875304.075245883,47315.8247786741,0,0,1,0,1,0,0,0,1,0,0
"GRR.GJS.2016.62",190742,"21199227","Somewhat excessively drained",95,"Kalkaska","Sandy, isotic, frigid Typic Haplorthods","Typic Haplorthods",90.6,94.7333333333333,500,90,100,"Series","Yes",NA,NA,0,2,6,30,91,91,"Very low",5,220,"1","None - deposition","Tree cover","Intermixed conifers and hardwoods",NA,"No",177,328,513,NA,NA,NA,"valley trains on ice-margin complexes, flats on outwash plains, lake plains on till plains, moraines on till plains",NA,0.0199999995529652,NA,5,7,9,700,810,920,NA,NA,NA,90,120,160,4,"s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,0,0,0,"A","High","Moderate","Spodosols","Orthods","Haplorthods","sandy","not used","not used","not used","frigid","Typic","frigid","twelfth edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5a",NA,"Outwash",NA,"flats",NA,"Interfluve and Nose Slope and Side Slope",NA,NA,"Convex and Linear","Convex and Linear","LL and VL and VV","Backslope and Shoulder and Summit","MI600","11658","15B","Kalkaska sand, 0 to 6 percent slopes","Consociation",NA,"Order 2",39405,"Not prime farmland",0,4.94999988555908,NA,875394.865254975,47139.3366029217,0,0,1,0,1,0,0,0,1,0,0
"GRR.GJS.2022.16",190756,"21199219","Excessively drained",95,"Grattan","Sandy, mixed, mesic Entic Haplorthods","Entic Haplorthods",92,94.4466666666667,500,90,100,"Series","Yes",NA,NA,0,3,6,30,61,91,"Very low",5,220,"1","None - deposition","Tree cover","Intermixed conifers and hardwoods",NA,"No",177,255,351,NA,NA,NA,"ice-margin complexes, lake plains, lake plains, moraines, outwash plains on outwash plains, till plains",NA,0.159999996423721,NA,6,9,11,770,900,1040,NA,NA,NA,140,175,200,6,"s",NA,NA,NA,NA,NA,"1sk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,0,0,0,"A","High","Low","Spodosols","Orthods","Haplorthods","sandy","not used","not used","not used","mesic","Typic","mesic","twelfth edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5.3a",NA,"Outwash",NA,"outwash plains",NA,"Head Slope and Interfluve and Nose Slope and Side Slope","Tread",NA,"Linear","Linear","LL","Shoulder and Summit","MI600","11658","23B","Grattan sand, 0 to 6 percent slopes","Consociation",NA,"Order 2",83714,"Not prime farmland",0,4.94400007247925,NA,882288.18739536,42886.9511703246,0,0,1,0,1,0,0,0,1,0,0
"GRR.GJS.2022.18",190756,"21199219","Excessively drained",95,"Grattan","Sandy, mixed, mesic Entic Haplorthods","Entic Haplorthods",92,94.4466666666667,500,90,100,"Series","Yes",NA,NA,0,3,6,30,61,91,"Very low",5,220,"1","None - deposition","Tree cover","Intermixed conifers and hardwoods",NA,"No",177,255,351,NA,NA,NA,"ice-margin complexes, lake plains, lake plains, moraines, outwash plains on outwash plains, till plains",NA,0.159999996423721,NA,6,9,11,770,900,1040,NA,NA,NA,140,175,200,6,"s",NA,NA,NA,NA,NA,"1sk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low",0,0,0,0,0,0,"A","High","Low","Spodosols","Orthods","Haplorthods","sandy","not used","not used","not used","mesic","Typic","mesic","twelfth edition",NA,NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,"5.3a",NA,"Outwash",NA,"outwash plains",NA,"Head Slope and Interfluve and Nose Slope and Side Slope","Tread",NA,"Linear","Linear","LL","Shoulder and Summit","MI600","11658","23B","Grattan sand, 0 to 6 percent slopes","Consociation",NA,"Order 2",83714,"Not prime farmland",0,4.94400007247925,NA,880555.539465409,41596.3980544282,0,0,1,0,1,0,0,0,1,0,0
