"Observation_ID","mukey","muname","flood","wet","moist","dry","mucky","sandy","rock","coastal","salty","dysic","euic","Observation_Label","pedon_id","distance","taxonname","taxclname","tpiclass","elev","slope","aspect","tpi","upper","middle","lower","nativity","wetness","LRU"
".2023.TOL.NB.32",816909,"Hooksan fine sand, 2 to 10 percent slopes",0,0,0,1,0,1,0,1,0,0,0,"2023NJ029200","2023NJ029200",37.2383443218943,"Hooksan","Mesic, uncoated Typic Quartzipsamments",3,7,50,NA,NA,1,NA,NA,0.740740740740741,0.0390084052282741,"153D"
".2023.TOL.NB.33",816909,"Hooksan fine sand, 2 to 10 percent slopes",0,0,0,1,0,1,0,1,0,0,0,"2023NJ029201","2023NJ029201",13.7057700044101,"Hooksan","Mesic, uncoated Typic Quartzipsamments",2,6,10,NA,NA,NA,1,NA,1,0.025362435827064,"153D"
".2023.TOL.NB.34",697509,"Fox Hill fine sand, 0 to 2 percent slopes, frequently flooded",0,1,0,0,0,1,0,1,0,0,0,"2023NJ029202","2023NJ029202",0.942720552321003,"Fox Hill","Siliceous, mesic Sodic Psammaquents",1,3,1,NA,NA,NA,NA,1,0.842696629213483,0.632646391633665,"153D"
"BEL.JH.2023.1",778221,"Colemantown loam, 0 to 2 percent slopes, occasionally flooded",0,1,0,0,0,0,0,0,0,1,0,"2023NJ005201","2023NJ005201",51.350053557333,"Colemantown","Fine, glauconitic, mesic Typic Albaquults",1,17.3999996185303,0,NA,NA,NA,NA,1,0.829126213592233,0.358488665663945,"149A"
"GRR.2011.GJS.1",187863,"Abscota sandy loam",1,0,1,0,0,0,0,0,0,0,1,"Ionia County RCA Site","C1103F02-1",0.300835692358443,"Ceresco (tax)","Coarse-loamy, mixed, mesic Oxyaquic Dystrudepts",3,194.54621887207,1.56654441356659,330.759765625,0.365885823965073,0,0,1,0.933746314638752,0.658754646039924,"98A1"
"GRR.2011.GJS.10",186453,"Kingsville mucky sand",0,1,0,0,0,0,0,0,0,1,0,"Newaygo County","C1107W06-1",6.61389534040079,"Kingsville","Mixed, mesic Mollic Psammaquents",2,240.527404785156,0.877101719379425,164.579833984375,0.528077065944672,0,1,0,0.996070726915521,0.537304543003674,"96B"
"GRR.2011.GJS.11",186069,"Tekenink fine sandy loam, 6 to 12 percent slopes",0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,287.619659423828,10.3054103851318,348.558563232422,0.496170282363892,0,1,0,0.964093357271095,0.305331075235167,"98A1"
"GRR.2011.GJS.12",186072,"Houghton muck, 0 to 1 percent slopes",0,1,0,0,0,0,0,0,0,0,1,"Barry County - Houghton swamp","C1106W10-1",16.6572791414286,"Palms","Loamy, mixed, euic, mesic Haplosaprists",2,278.971130371094,1.06967723369598,254.374801635742,0.27883368730545,0,0,1,0.998571428571429,0.84904709779843,"98A1"
"GRR.2011.GJS.13",212486,"Newton mucky fine sand",0,1,0,0,0,1,0,0,0,0,1,"Allegan County RCA Site: Newton","C1103W02-1",29.2554913561489,"Kingsville","Mixed, mesic Mollic Psammaquents",2,211.613540649414,2.22246694564819,117.926109313965,0.486643999814987,0,1,0,0.994832041343669,0.877382424761361,"97A"
"GRR.2011.GJS.3",188187,"Shallow sandy land",0,0,1,0,0,1,1,0,0,0,1,"Ionia County Shallow Sandy Site 1","2011MI067200",14.0532623959344,"Pipestone","Sandy, mixed, mesic Typic Endoaquods",3,198.222717285156,0.405878007411957,34.7597579956055,0.391182988882065,0,0,1,1,0.146114951429775,"98A1"
"GRR.2011.GJS.4",212438,"Morocco-Newton complex, 0 to 3 percent slopes",0,0,1,0,0,1,0,0,0,1,0,"Allegan County RCA Site: Morocco","C1103W05-1",43.0391798663069,"Pipestone","Sandy, mixed, mesic Typic Endoaquods",2,206.442398071289,0.901279330253601,223.558349609375,0.598917961120605,1,0,0,1,0.260102766046215,"97A"
"GRR.2011.GJS.5",186304,"Ottokee loamy fine sand, 0 to 3 percent slopes",0,0,1,0,0,0,0,0,0,0,1,"Van Buren County RCA Site","C1103F06-1",64.1797230413982,"Ottokee","Mixed, mesic Aquic Udipsamments",2,233.281158447266,3.30140590667725,100.695030212402,0.464763611555099,0,1,0,0.996177077758238,0.345649237893112,"97A"
